iteration,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,p41_x,p41_y,p42_x,p42_y,p43_x,p43_y,p44_x,p44_y,p45_x,p45_y,p46_x,p46_y,p47_x,p47_y,p48_x,p48_y,p49_x,p49_y,global_best_x,global_best_y,global_best_value
0,16.8504,9.9602,19.0031,17.4172,20.1029,13.8284,8.9792,27.2607,12.4183,19.1644,23.4168,11.4028,18.2759,9.1196,12.0801,7.8001,16.0047,12.4311,16.2127,25.1599,23.9875,4.9068,20.1602,18.2712,17.9949,22.1579,26.5850,10.4545,6.5487,11.6459,7.0179,8.1749,10.7754,10.7876,14.3904,19.0920,23.8499,2.2392,9.5674,16.8555,17.2431,20.5619,3.9729,9.7431,10.5511,17.3603,4.1280,7.7862,10.3599,11.6028,16.0850,21.9236,16.5981,3.6576,20.9304,24.3382,16.3146,15.5899,4.5744,10.4219,7.9950,17.0567,11.4402,2.7528,10.9852,6.1917,3.9508,25.6198,27.0692,15.9862,22.1335,14.3956,14.2962,15.6848,9.4288,27.0065,22.6784,18.1010,7.8448,14.6636,17.1136,16.7805,18.1134,26.6871,20.0550,26.8707,17.4250,13.5888,21.0511,5.9476,3.6735,16.6158,14.5568,11.8847,23.5828,11.9304,8.2578,23.0375,18.6708,8.8927,16.314570,15.589912,816.326796
2,16.2938,13.9602,16.3202,15.5762,16.1029,16.6192,12.4718,23.4770,16.4183,15.1644,19.4168,15.4028,15.6805,13.1196,14.7810,11.0298,16.7118,16.2559,16.7973,21.1599,20.7756,8.2310,16.1602,14.7148,15.1032,18.4532,22.5850,14.4545,10.4238,14.9993,11.0179,12.1749,14.3338,14.2298,16.7680,15.5188,19.9649,6.2392,13.5674,15.5894,15.7522,16.5619,7.9729,13.7431,14.5511,15.5131,8.1280,11.7862,14.1980,15.3339,16.6693,17.9236,16.2050,7.6576,17.4104,20.3933,15.8440,16.5458,7.6916,13.4735,11.9950,15.5824,14.8008,6.7528,14.3665,10.1917,7.9508,21.6198,23.0692,15.7552,18.1335,17.0027,16.8796,15.9540,13.2120,23.0065,18.9507,15.9486,10.8778,16.2813,15.8147,16.8244,15.0723,22.6871,17.2274,22.8707,15.4620,16.3517,17.0511,9.9476,7.6735,16.0617,15.6294,15.5838,19.5828,15.4393,12.2578,19.0375,14.8727,12.8927,15.629382,15.583850,828.365620
4,15.5989,15.9808,15.1844,15.1707,14.6216,16.3854,15.9234,19.4770,15.7427,15.4647,16.4092,16.2047,15.3140,16.5042,17.1127,14.2689,15.3740,14.8034,15.7843,17.1599,17.7085,11.3452,14.7009,14.8328,14.7850,16.2673,18.5850,16.8214,14.4158,16.3166,15.0179,16.0179,16.5093,16.3995,16.4778,15.2536,15.9649,10.2392,16.5911,15.0964,15.4040,14.5815,11.9729,16.4223,16.3847,15.4735,11.3041,14.8753,16.0663,15.8537,15.5200,14.8012,15.2069,11.6576,14.5402,16.3933,15.1785,15.1870,11.6916,15.5621,15.9950,15.4638,16.2480,10.7528,15.7704,13.4235,11.9508,17.6198,19.9566,15.5672,14.9464,16.1561,15.5246,15.5758,16.3379,19.0065,15.6057,14.8878,14.1711,15.9105,15.5709,16.2403,14.6664,19.0387,15.1683,18.8707,15.2613,16.4853,14.7675,13.9476,11.6735,15.4589,15.8938,16.5519,15.5828,16.3104,14.9714,16.2890,15.2322,16.3814,15.629382,15.583850,828.365620
6,15.6271,15.5901,15.4187,15.2647,15.4786,16.1322,16.6101,15.5768,15.3601,15.8048,14.3965,15.1920,15.4704,14.8046,16.4416,15.8055,16.0877,15.6195,15.3869,14.8843,14.6626,15.3452,16.3835,15.6699,15.5419,14.9716,15.3960,16.2087,16.8941,15.4890,15.8438,16.0229,15.3002,15.2558,16.2984,15.7362,14.8802,14.2392,16.0602,15.2396,15.7843,16.5265,15.5056,15.8267,15.8749,15.4543,15.3041,16.4548,15.7526,15.6587,15.9001,15.9786,15.5754,15.6576,14.5167,14.7880,15.7499,15.8575,15.6916,15.9390,16.0868,15.6051,15.5476,14.7528,16.0548,16.4560,15.6067,14.6075,15.9566,15.5533,14.6277,15.5548,15.0808,15.4292,16.1948,15.3652,16.1008,15.9358,16.4199,15.4584,15.8385,16.0191,15.8549,15.7642,15.3834,14.8707,15.7076,15.6212,15.3194,16.3234,15.6735,15.4984,15.5591,15.3267,15.1199,16.1077,15.9393,15.2714,15.9430,16.9978,15.629382,15.583850,828.365620
8,15.6768,15.5709,15.6667,15.4368,15.9586,15.7449,16.2471,15.2492,16.0854,15.1903,16.1656,15.7094,15.2317,15.1134,15.4143,15.9680,15.9393,14.9928,15.4870,15.9134,15.6225,15.6519,15.4498,15.3818,15.4632,15.7801,15.5020,15.7635,16.0190,15.9200,15.3803,15.3882,15.9250,15.8299,16.4056,15.3363,15.7606,16.4511,15.3792,15.5004,15.7450,16.3451,16.5346,15.2375,15.7369,15.5581,15.7549,16.2119,15.6313,15.6160,15.7552,15.6570,15.6927,16.3249,16.1751,15.9948,15.5566,15.7731,16.4867,15.7082,15.4525,15.4803,15.4510,16.1393,15.5658,15.5430,15.9210,14.8262,14.9343,15.5786,15.9069,15.6090,15.5641,15.5697,15.7896,15.1669,16.3592,15.1053,15.2322,15.6750,15.6028,15.5224,15.7055,15.4601,15.5667,15.6031,15.6884,15.4319,15.9681,16.1718,15.7148,15.5892,15.6339,15.6003,15.9390,15.9941,15.5754,15.6636,15.4919,14.9902,15.629382,15.583850,828.365620
10,15.5436,16.0869,15.5894,15.5776,15.5995,15.7437,16.0962,15.6098,15.4477,15.7292,15.2090,15.3898,15.4936,15.3382,15.2679,15.7126,15.4865,15.7965,15.6231,15.6373,15.7145,15.5042,15.7835,15.4609,15.5378,15.4628,15.6638,15.5889,15.5163,15.5061,15.6442,15.6754,15.6437,15.5709,16.5359,15.5470,15.2761,15.6937,15.7166,15.3053,15.6859,16.1049,15.0921,15.9250,15.7253,15.5485,15.2797,15.4711,15.7498,15.6305,15.8030,15.5811,15.5192,15.0896,15.2240,15.3092,15.1233,15.6300,15.4186,15.7752,15.9197,15.5159,15.3655,15.6226,15.4199,15.1197,15.2253,15.8094,16.1914,15.5672,15.4736,15.5756,15.6433,15.6064,15.8372,15.5552,15.4527,15.7052,15.8253,15.5967,15.6972,15.7224,15.5887,15.8008,15.6099,15.5078,15.6202,15.6708,15.6741,15.8025,15.4487,15.5180,15.6501,15.6598,15.7072,15.6571,15.6255,15.5953,15.6843,15.8345,15.629382,15.583850,828.365620
12,15.6458,15.6605,15.6027,15.3725,15.7732,15.8068,16.0815,15.5493,15.6782,15.5413,15.6109,15.5316,15.4837,15.4634,15.6613,15.6141,15.8327,15.3341,15.4179,15.6620,15.4619,15.8529,15.8185,15.4308,15.3298,15.4136,15.4473,15.6527,15.6940,15.6474,15.4795,15.5422,15.8032,15.6963,15.7751,15.5641,15.4830,15.4365,15.5454,15.1177,15.7342,16.4118,15.7126,15.6592,15.6796,15.5408,15.5950,15.5842,15.6447,15.6164,15.6881,15.8078,15.6233,15.8744,15.8805,15.7816,15.5649,15.6406,15.8760,15.6721,15.8811,15.5370,15.5125,15.6553,15.7089,15.7991,15.5621,15.4741,16.1199,15.5465,15.4994,15.5832,15.5244,15.5654,15.6991,15.1718,15.4373,15.7108,15.5962,15.5991,15.6353,15.5953,15.7879,15.5895,15.6013,15.3771,15.6462,15.5848,15.6977,15.6970,15.7856,15.5439,15.6089,15.5089,15.8398,15.9219,15.6112,15.6196,15.6645,15.7614,15.629382,15.583850,828.365620
14,15.6223,15.6185,15.5909,15.4967,15.7321,15.6840,15.7196,15.6957,15.7457,15.4706,15.6969,15.5812,15.3218,15.3544,15.4218,15.9282,15.7153,15.4232,15.4059,15.7436,15.6698,15.5489,15.6670,15.5177,15.6116,15.6123,15.5416,15.7433,15.8600,15.8098,15.5132,15.6115,15.6468,15.5925,15.5536,15.5659,15.3257,15.9624,15.5905,15.3296,15.6448,15.7135,15.6156,15.6577,15.7182,15.5374,15.4011,15.7963,15.6771,15.6032,15.7285,15.6409,15.5962,15.5691,15.6439,15.6062,15.1501,15.6848,15.5173,15.9003,15.9044,15.4632,15.3589,15.8158,15.5494,15.4803,15.4318,15.5410,15.5837,15.5720,15.5591,15.5903,15.5987,15.5816,15.7396,15.4123,15.9000,15.4105,15.7170,15.6456,15.6848,15.6955,15.7154,15.6333,15.5629,15.9297,15.6772,15.5894,15.6775,15.7253,15.5490,15.5693,15.6348,15.6039,15.7362,15.7188,15.6020,15.6316,15.6315,15.6140,15.629382,15.583850,828.365620
16,15.6011,15.8613,15.5794,15.2970,15.7759,15.8612,15.8283,15.5927,15.6747,15.5295,15.5056,15.5292,15.4385,15.3277,15.5970,15.6037,15.8045,15.3194,15.5567,15.5967,15.6524,15.5617,15.7818,15.4445,15.2401,15.3689,15.5754,15.6377,15.7215,15.6948,15.5760,15.5901,15.7279,15.6435,15.6941,15.5883,15.3885,15.7516,15.6348,15.3880,15.6297,15.6027,15.5526,15.6152,15.7079,15.5446,15.5781,15.5797,15.6866,15.6161,16.0046,15.9050,15.5962,15.6491,15.5434,15.5405,15.1520,15.7050,15.7533,15.7983,15.7794,15.5463,15.6177,15.5339,15.6145,15.5654,15.5355,15.4958,15.7884,15.5737,15.5039,15.5878,15.5758,15.5839,15.7533,15.2517,15.5769,15.6187,15.6428,15.5852,15.6979,15.7217,15.8176,15.7608,15.6148,15.4331,15.6800,15.6191,15.7449,15.8529,15.6443,15.5219,15.6288,15.5817,15.7123,15.6787,15.6203,15.6064,15.6471,15.6765,15.629382,15.583850,828.365620
18,15.6077,15.8750,15.5841,15.4338,15.7182,15.7179,15.7348,15.6318,15.6743,15.5393,15.5894,15.5072,15.3560,15.2866,15.5467,15.7533,15.7850,15.3512,15.5112,15.6609,15.5614,15.7280,15.7743,15.4459,15.3155,15.4133,15.5881,15.6109,15.6893,15.6581,15.4693,15.5892,15.8288,15.7038,15.7172,15.5714,15.5725,15.6243,15.5730,15.4016,15.6506,15.7423,15.5599,15.7730,15.7817,15.5021,15.4212,15.7485,15.7513,15.6607,15.7044,15.6883,15.6011,15.6697,15.6902,15.6230,15.3181,15.6569,15.6503,15.7259,15.7851,15.5378,15.3327,15.7952,15.6257,15.6223,15.4732,15.4676,15.6435,15.5857,15.5478,15.5888,15.5291,15.5754,15.7214,15.3243,15.8856,15.4222,15.6147,15.5758,15.6375,15.5998,15.7508,15.6673,15.5968,15.6876,15.6301,15.5799,15.6560,15.6458,15.6865,15.5426,15.6292,15.5833,15.9243,15.9924,15.6112,15.6207,15.6390,15.6393,15.629382,15.583850,828.365620
